source,fips,value,date
43,13033,0.000181454,12/31/2017
43,13035,0.000241527,12/31/2017
43,13037,0.000595411,12/31/2017
43,13039,7.56139E-05,12/31/2017
43,13043,0.001138799,12/31/2017
43,13045,0.000421583,12/31/2017
43,13047,0.000224331,12/31/2017
43,13049,0.001219156,12/31/2017
43,13051,0.001257091,12/31/2017
43,13053,0,12/31/2017
43,13055,0,12/31/2017
43,13057,0.000134326,12/31/2017
43,13059,5.11644E-05,12/31/2017
43,13061,0.001567849,12/31/2017
43,13063,1.41235E-05,12/31/2017
43,13065,0.009859985,12/31/2017
43,13067,5.66662E-06,12/31/2017
43,13069,0.001022438,12/31/2017
43,13071,0,12/31/2017
43,13073,1.37451E-05,12/31/2017
43,13075,0,12/31/2017
43,13077,0,12/31/2017
43,13079,0,12/31/2017
43,13081,0.000910245,12/31/2017
43,13083,0.001339479,12/31/2017
43,13085,0.000114829,12/31/2017
43,13087,0.000751509,12/31/2017
43,13089,1.82502E-06,12/31/2017
43,13091,9.37896E-05,12/31/2017
43,13093,0.00020805,12/31/2017
43,13095,2.15849E-05,12/31/2017
43,13097,0,12/31/2017
43,13099,0,12/31/2017
43,13101,0,12/31/2017
43,13103,0,12/31/2017
43,13105,0.001507632,12/31/2017
43,13107,0,12/31/2017
43,13109,0.000183647,12/31/2017
43,13111,0,12/31/2017
43,13113,0,12/31/2017
43,13115,0.000389073,12/31/2017
43,13117,1.83245E-05,12/31/2017
43,13119,0.000166335,12/31/2017
43,13121,0,12/31/2017
43,13123,0.000130748,12/31/2017
43,13125,0,12/31/2017
43,13127,0,12/31/2017
43,13129,0.000263287,12/31/2017
43,13131,7.88681E-05,12/31/2017
43,13133,0.000108621,12/31/2017
43,13135,2.21977E-06,12/31/2017
43,13137,0,12/31/2017
